DATE,DFF
2013-01-01,0.14258064516129032258
2013-02-01,0.14500000000000000000
2013-03-01,0.14354838709677419355
2013-04-01,0.14500000000000000000
2013-05-01,0.10903225806451612903
2013-06-01,0.09366666666666666667
2013-07-01,0.09258064516129032258
2013-08-01,0.08290322580645161290
2013-09-01,0.08000000000000000000
2013-10-01,0.08709677419354838710
2013-11-01,0.08433333333333333333
2013-12-01,0.08516129032258064516
2014-01-01,0.07161290322580645161
2014-02-01,0.06642857142857142857
2014-03-01,0.07806451612903225806
2014-04-01,0.09033333333333333333
2014-05-01,0.08709677419354838710
2014-06-01,0.09566666666666666667
2014-07-01,0.09096774193548387097
2014-08-01,0.08806451612903225806
2014-09-01,0.08833333333333333333
2014-10-01,0.08903225806451612903
2014-11-01,0.09200000000000000000
2014-12-01,0.12258064516129032258
2015-01-01,0.11483870967741935484
2015-02-01,0.11071428571428571429
2015-03-01,0.11290322580645161290
2015-04-01,0.12466666666666666667
2015-05-01,0.12322580645161290323
2015-06-01,0.12900000000000000000
2015-07-01,0.13032258064516129032
2015-08-01,0.13806451612903225806
2015-09-01,0.13600000000000000000
2015-10-01,0.12354838709677419355
2015-11-01,0.11766666666666666667
2015-12-01,0.24064516129032258065
2016-01-01,0.34290322580645161290
2016-02-01,0.37517241379310344828
2016-03-01,0.36225806451612903226
2016-04-01,0.36533333333333333333
2016-05-01,0.36516129032258064516
2016-06-01,0.37766666666666666667
2016-07-01,0.39161290322580645161
2016-08-01,0.39677419354838709677
2016-09-01,0.39633333333333333333
2016-10-01,0.39645161290322580645
2016-11-01,0.40666666666666666667
2016-12-01,0.54000000000000000000
2017-01-01,0.64967741935483870968
2017-02-01,0.65678571428571428571
2017-03-01,0.78612903225806451613
2017-04-01,0.89600000000000000000
2017-05-01,0.90741935483870967742
2017-06-01,1.0400000000000000
2017-07-01,1.1506451612903226
2017-08-01,1.1570967741935484
2017-09-01,1.1533333333333333
2017-10-01,1.1538709677419355
2017-11-01,1.1570000000000000
2017-12-01,1.3016129032258065
2018-01-01,1.4145161290322581
2018-02-01,1.4175000000000000
2018-03-01,1.5061290322580645
2018-04-01,1.6923333333333333
2018-05-01,1.7000000000000000
2018-06-01,1.8196666666666667
2018-07-01,1.9100000000000000
2018-08-01,1.9148387096774194
2018-09-01,1.9546666666666667
2018-10-01,2.1877419354838710
2018-11-01,2.1976666666666667
2018-12-01,2.2741935483870968
2019-01-01,2.4000000000000000
2019-02-01,2.4000000000000000
2019-03-01,2.4051612903225806
2019-04-01,2.4236666666666667
2019-05-01,2.3909677419354839
2019-06-01,2.3776666666666667
2019-07-01,2.4029032258064516
2019-08-01,2.1258064516129032
2019-09-01,2.0430000000000000
2019-10-01,1.8296774193548387
2019-11-01,1.5533333333333333
2019-12-01,1.5509677419354839
2020-01-01,1.5506451612903226
2020-02-01,1.5831034482758621
2020-03-01,0.65225806451612903226
2020-04-01,0.04900000000000000000
2020-05-01,0.05000000000000000000
2020-06-01,0.07766666666666666667
2020-07-01,0.09258064516129032258
2020-08-01,0.09516129032258064516
2020-09-01,0.09000000000000000000
2020-10-01,0.09000000000000000000
2020-11-01,0.08633333333333333333
2020-12-01,0.09000000000000000000
2021-01-01,0.08516129032258064516
2021-02-01,0.07571428571428571429
2021-03-01,0.06967741935483870968
2021-04-01,0.06900000000000000000
2021-05-01,0.05806451612903225806
2021-06-01,0.07800000000000000000
2021-07-01,0.09806451612903225806
2021-08-01,0.09225806451612903226
2021-09-01,0.07933333333333333333
2021-10-01,0.07903225806451612903
2021-11-01,0.07966666666666666667
2021-12-01,0.07967741935483870968
2022-01-01,0.07935483870967741935
2022-02-01,0.08000000000000000000
2022-03-01,0.20096774193548387097
2022-04-01,0.33000000000000000000
2022-05-01,0.76548387096774193548
2022-06-01,1.2050000000000000
2022-07-01,1.6758064516129032
2022-08-01,2.3300000000000000
2022-09-01,2.5550000000000000
2022-10-01,3.0800000000000000
