,DATE,FORECLOSURE,CAUR,Average DGS,DFF,NASDAQCOM,ZHVI,MORT30US,BofA_Yield_Index_PCH,CA_Consumer_Price_Index
0,01/2014,1440,8.2,2.8580952380952382,0.0716129032258064,1.92538,1.34214,4.432,1.07487,235.288
1,05/2014,503,7.7,2.559047619047619,0.0870967741935483,0.39007,0.08087,4.192,0.88867,236.918
2,04/2014,328,7.8,2.705238095238096,0.0903333333333333,-3.67258,0.22288,4.3375,0.66026,236.468
3,12/2014,829,6.9,2.2072727272727275,0.1225806451612903,0.95994,0.58631,3.864,-2.15708,236.252
4,10/2014,576,7.2,2.304090909090909,0.0890322580645161,-3.25943,0.38947,4.036,-0.67733,237.43
5,09/2014,512,7.3,2.5342857142857147,0.0883333333333333,1.94307,0.16591,4.1625,-0.25902,237.477
6,02/2014,524,8.1,2.7094736842105265,0.0664285714285714,1.08537,1.13758,4.3025,0.87364,235.547
7,07/2014,437,7.5,2.5422727272727275,0.0909677419354838,2.34003,0.11132,4.13,-0.00757,237.498
8,06/2014,439,7.6,2.5985714285714283,0.0956666666666666,4.77259,0.13118,4.1625,0.99437,237.231
9,11/2014,957,7.1,2.325555555555556,0.092,6.46052,0.65561,3.9975,0.25513,236.983
10,03/2014,611,8.0,2.7233333333333327,0.0780645161290322,1.83138,0.60021,4.3425,1.04621,236.028
11,08/2014,443,7.4,2.42,0.0880645161290322,0.69248,-0.04856,4.115,-0.27603,237.46
12,04/2015,399,6.5,1.935,0.1246666666666666,0.97085,0.49475,3.672,1.13435,236.222
13,01/2015,4283,6.8,1.8815,0.1148387096774193,-1.24664,0.61772,3.67,0.61587,234.747
14,07/2015,264,6.2,2.3245454545454547,0.1303225806451612,0.19255,0.15363,4.046,-0.98550,238.034
15,11/2015,243,5.8,2.2631578947368416,0.1176666666666666,4.1703,0.67629,3.9425,-0.62991,238.017
16,08/2015,421,6.0,2.167142857142857,0.1380645161290322,-2.91546,0.29712,3.905,-1.70481,238.033
17,05/2015,323,6.4,2.1975,0.1232258064516129,0.87205,0.52723,3.84,0.33227,237.001
18,02/2015,725,6.7,1.9752631578947368,0.1107142857142857,3.8632,0.6559,3.71,1.83100,235.342
19,10/2015,243,5.8,2.07,0.1235483870967741,2.75973,0.85366,3.796,-0.38122,237.733
20,03/2015,580,6.6,2.0427272727272725,0.1129032258064516,1.7254,0.70982,3.77,0.33258,235.976
21,06/2015,269,6.3,2.363636363636364,0.129,0.8671,0.3772,3.9825,-0.67225,237.657
22,09/2015,228,5.9,2.172857142857143,0.136,-3.78181,0.50292,3.89,-0.65619,237.498
23,12/2015,277,5.7,2.242727272727273,0.2406451612903225,-0.82572,0.92087,3.964,-2.99526,237.761
24,01/2016,3663,5.7,2.085263157894737,0.3429032258064516,-8.52738,0.85404,3.8725,-2.13674,237.652
25,11/2016,331,5.4,2.142,0.4066666666666666,0.08707,0.60003,3.77,-1.12952,242.026
26,12/2016,363,5.4,2.491904761904762,0.54,2.89991,0.53325,4.198,1.71922,242.637
27,04/2016,329,5.5,1.8052380952380955,0.3653333333333333,2.89598,0.49847,3.605,2.98030,238.992
28,06/2016,270,5.5,1.6440909090909093,0.3776666666666666,1.42009,0.50684,3.568,1.39629,240.222
29,02/2016,493,5.6,1.7795,0.3751724137931034,-3.19925,0.74223,3.66,-1.42243,237.336
30,03/2016,640,5.6,1.889090909090909,0.362258064516129,6.52611,0.38473,3.694,5.56606,238.08
31,09/2016,267,5.5,1.6304761904761906,0.3963333333333333,0.71144,0.38999,3.46,0.79624,241.176
32,08/2016,345,5.5,1.556521739130435,0.396774193548387,3.84255,0.34141,3.435,1.78136,240.545
33,05/2016,421,5.5,1.806190476190476,0.3651612903225806,-2.12447,0.4799,3.6,1.78585,239.557
34,10/2016,227,5.5,1.7645000000000004,0.3964516129032258,0.03492,0.76179,3.47,1.35230,241.741
35,07/2016,289,5.5,1.504,0.3916129032258064,3.45446,0.13183,3.44,2.68273,240.101
36,01/2017,895,5.2,2.4325,0.6496774193548387,2.73977,0.60335,4.15,1.68798,243.618
37,08/2017,85,4.8,2.2091304347826086,1.1570967741935485,0.26568,0.341,3.88,0.30194,245.183
38,11/2017,65,4.5,2.353333333333333,1.157,2.92342,0.84327,3.922,-0.37884,247.284
39,12/2017,43,4.5,2.4025,1.3016129032258064,1.37867,0.8315,3.95,0.34350,247.805
40,04/2017,80,5.0,2.2973684210526315,0.896,0.80487,0.50642,4.045,1.09034,244.193
41,06/2017,108,4.9,2.186818181818182,1.04,1.62302,0.67223,3.904,0.64254,244.163
42,03/2017,141,5.0,2.4817391304347827,0.7861290322580645,1.73924,0.61158,4.196,-0.04782,243.892
43,07/2017,81,4.8,2.318,1.1506451612903226,1.13086,0.3091,3.9675,0.50412,244.243
44,10/2017,60,4.6,2.3600000000000003,1.1538709677419356,2.72138,0.82686,3.895,0.71545,246.626
45,09/2017,61,4.7,2.2020000000000004,1.153333333333333,1.84874,0.46859,3.805,0.78066,246.435
46,05/2017,48,4.9,2.3036363636363637,0.9074193548387096,3.59781,0.59886,4.01,1.00766,244.004
47,02/2017,87,5.1,2.4189473684210525,0.6567857142857142,3.65515,0.61702,4.1675,1.08286,244.006
48,10/2018,264,4.3,3.152272727272728,2.187741935483871,-5.71472,0.32221,4.83,-0.57101,252.862
49,11/2018,239,4.3,3.117,2.1976666666666667,-3.86604,0.19503,4.866,-1.27691,252.657
50,01/2018,1485,4.4,2.583809523809524,1.414516129032258,5.65707,0.90889,4.0325,0.88360,248.743
51,06/2018,126,4.2,2.9123809523809525,1.8196666666666668,4.16675,0.51109,4.57,0.57344,251.118
52,12/2018,193,4.3,2.8326315789473684,2.274193548387097,-5.82899,-0.02636,4.6375,-1.32255,252.551
53,07/2018,107,4.2,2.889047619047618,1.91,1.46137,0.32088,4.5275,0.20423,251.323
54,05/2018,132,4.2,2.977727272727272,1.7,3.60222,0.51182,4.586,-0.01179,250.779
55,04/2018,46,4.2,2.869047619047619,1.6923333333333332,-3.10968,0.64303,4.4675,0.49523,250.146
56,09/2018,150,4.2,3.004210526315789,1.9546666666666668,1.15398,0.16499,4.6275,0.55404,252.239
57,02/2018,98,4.3,2.8589473684210525,1.4175,-1.61722,0.97684,4.33,-1.16087,249.439
58,03/2018,81,4.3,2.842380952380953,1.5061290322580645,2.09073,0.83017,4.444,-0.26257,249.581
59,08/2018,191,4.2,2.889130434782609,1.9148387096774195,1.74515,0.25883,4.55,1.07922,251.749
60,10/2019,244,4.1,1.706818181818182,1.8296774193548389,-0.10413,0.35482,3.688,-0.06923,257.305
61,06/2019,190,4.0,2.074,2.377666666666667,0.26442,0.16315,3.8025,0.85292,255.361
62,11/2019,371,4.1,1.8121052631578949,1.5533333333333332,5.42498,0.26156,3.695,0.32095,257.788
63,04/2019,136,4.1,2.532380952380952,2.423666666666666,4.7933,0.13372,4.1425,1.57879,255.163
64,08/2019,180,4.1,1.6263636363636365,2.1258064516129034,-3.59104,0.07657,3.616,-0.12546,256.179
65,12/2019,188,4.1,1.8628571428571428,1.550967741935484,3.06442,0.36797,3.72,1.37270,258.263
66,07/2019,279,4.0,2.059090909090909,2.402903225806452,4.85774,-0.00699,3.765,1.09099,255.9
67,01/2019,1126,4.3,2.713809523809524,2.4,2.4267,-0.11487,4.464,1.80463,252.47
68,02/2019,170,4.2,2.676315789473684,2.4,6.45336,-0.16133,4.37,2.32688,253.135
69,03/2019,160,4.2,2.570952380952381,2.4051612903225807,2.68219,-0.03162,4.265,1.11558,254.273
70,05/2019,158,4.1,2.395,2.390967741935484,-2.37951,0.19209,4.072,-0.06925,255.325
71,09/2019,115,4.1,1.6994999999999998,2.043,2.23447,0.19587,3.605,1.22393,256.596
72,02/2020,190,4.1,1.5042105263157894,1.583103448275862,2.00891,0.71067,3.465,0.07161,259.007
73,04/2020,200,15.9,0.6576190476190475,0.049,6.69311,0.60391,3.306,-0.49390,256.094
74,07/2020,155,13.4,0.6236363636363637,0.0925806451612903,6.70624,0.39776,3.016,1.30316,258.543
